IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.144.48,2052,2052,false,SIN,Asia Pacific,Singapore,22,7.96
8.219.97.50,2096,2096,true,SIN,Asia Pacific,Singapore,93,7.95
47.236.130.95,2082,2082,false,SIN,Asia Pacific,Singapore,22,7.95
47.237.10.1,80,80,false,SIN,Asia Pacific,Singapore,11,7.95
8.219.51.211,2095,2095,false,SIN,Asia Pacific,Singapore,3,7.94
47.236.87.246,2083,2083,true,SIN,Asia Pacific,Singapore,46,7.94
8.219.170.232,2086,2086,false,SIN,Asia Pacific,Singapore,7,7.94
47.236.165.25,2053,2053,true,SIN,Asia Pacific,Singapore,142,7.94
8.210.174.156,2082,2082,false,HKG,Asia Pacific,Hong Kong,39,7.94
8.218.8.142,8880,8880,false,HKG,Asia Pacific,Hong Kong,48,7.93
8.222.214.231,2083,2083,true,SIN,Asia Pacific,Singapore,54,7.93
8.219.50.180,2082,2082,false,SIN,Asia Pacific,Singapore,4,7.93
47.236.237.90,2095,2095,false,SIN,Asia Pacific,Singapore,25,7.93
47.236.169.15,2095,2095,false,SIN,Asia Pacific,Singapore,7,7.93
47.242.252.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,62,7.93
8.222.214.231,2053,2053,true,SIN,Asia Pacific,Singapore,36,7.92
8.210.156.6,2095,2095,false,HKG,Asia Pacific,Hong Kong,49,7.92
47.236.145.85,2082,2082,false,SIN,Asia Pacific,Singapore,22,7.92
8.217.251.62,8443,8443,true,HKG,Asia Pacific,Hong Kong,91,7.91
47.243.42.219,8443,8443,true,HKG,Asia Pacific,Hong Kong,98,7.91
47.236.180.51,2095,2095,false,SIN,Asia Pacific,Singapore,27,7.90
8.222.167.147,80,80,false,SIN,Asia Pacific,Singapore,13,7.90
8.219.11.158,8443,8443,true,SIN,Asia Pacific,Singapore,39,7.90
8.222.193.65,2083,2083,true,SIN,Asia Pacific,Singapore,33,7.90
8.222.237.131,2053,2053,true,SIN,Asia Pacific,Singapore,24,7.89
47.236.117.48,2082,2082,false,SIN,Asia Pacific,Singapore,23,7.89
47.76.33.40,2053,2053,true,HKG,Asia Pacific,Hong Kong,91,7.89
47.236.144.48,2095,2095,false,SIN,Asia Pacific,Singapore,29,7.89
8.210.156.6,2087,2087,true,HKG,Asia Pacific,Hong Kong,58,7.88
47.76.80.72,2096,2096,true,HKG,Asia Pacific,Hong Kong,62,7.88
47.236.165.25,2087,2087,true,SIN,Asia Pacific,Singapore,92,7.88
47.236.144.208,80,80,false,SIN,Asia Pacific,Singapore,17,7.86
8.222.237.131,2096,2096,true,SIN,Asia Pacific,Singapore,26,7.86
47.236.150.13,2053,2053,true,SIN,Asia Pacific,Singapore,68,7.86
47.237.100.206,2082,2082,false,SIN,Asia Pacific,Singapore,11,7.86
8.218.85.128,8080,8080,false,HKG,Asia Pacific,Hong Kong,34,7.86
47.237.82.15,8880,8880,false,SIN,Asia Pacific,Singapore,32,7.85
8.219.11.158,8443,8443,true,SIN,Asia Pacific,Singapore,60,7.85
47.236.169.164,8880,8880,false,SIN,Asia Pacific,Singapore,18,7.85
8.210.146.108,2083,2083,true,HKG,Asia Pacific,Hong Kong,61,7.85
8.219.113.232,8880,8880,false,SIN,Asia Pacific,Singapore,12,7.85
8.218.126.53,2083,2083,true,HKG,Asia Pacific,Hong Kong,59,7.85
8.217.149.28,2096,2096,true,HKG,Asia Pacific,Hong Kong,58,7.85
8.222.244.192,8880,8880,false,SIN,Asia Pacific,Singapore,15,7.85
8.222.160.176,2052,2052,false,SIN,Asia Pacific,Singapore,10,7.84
8.219.200.145,2095,2095,false,SIN,Asia Pacific,Singapore,23,7.83
8.222.179.231,8080,8080,false,SIN,Asia Pacific,Singapore,22,7.83
8.218.155.238,2095,2095,false,HKG,Asia Pacific,Hong Kong,63,7.83
47.236.169.164,2095,2095,false,SIN,Asia Pacific,Singapore,14,7.83
47.236.202.91,8880,8880,false,SIN,Asia Pacific,Singapore,18,7.82
47.243.42.219,2083,2083,true,HKG,Asia Pacific,Hong Kong,55,7.82
47.236.144.156,2083,2083,true,SIN,Asia Pacific,Singapore,51,7.82
47.236.254.120,2087,2087,true,SIN,Asia Pacific,Singapore,58,7.80
47.243.67.28,2086,2086,false,HKG,Asia Pacific,Hong Kong,46,7.79
47.242.176.237,2086,2086,false,HKG,Asia Pacific,Hong Kong,41,7.79
47.236.144.196,2053,2053,true,SIN,Asia Pacific,Singapore,56,7.78
47.236.165.25,8443,8443,true,SIN,Asia Pacific,Singapore,71,7.78
47.236.149.107,2096,2096,true,SIN,Asia Pacific,Singapore,39,7.78
47.236.130.95,2082,2082,false,SIN,Asia Pacific,Singapore,19,7.78
8.222.193.65,2053,2053,true,SIN,Asia Pacific,Singapore,33,7.77
8.219.248.47,2095,2095,false,SIN,Asia Pacific,Singapore,32,7.77
8.222.146.222,2082,2082,false,SIN,Asia Pacific,Singapore,21,7.77
8.219.97.50,2052,2052,false,SIN,Asia Pacific,Singapore,8,7.77
8.219.210.57,2083,2083,true,SIN,Asia Pacific,Singapore,51,7.76
8.219.4.122,2083,2083,true,SIN,Asia Pacific,Singapore,45,7.76
47.237.10.1,2095,2095,false,SIN,Asia Pacific,Singapore,37,7.76
47.243.86.79,2053,2053,true,HKG,Asia Pacific,Hong Kong,110,7.76
47.243.67.28,8080,8080,false,HKG,Asia Pacific,Hong Kong,39,7.76
8.222.193.65,2083,2083,true,SIN,Asia Pacific,Singapore,48,7.76
8.219.50.180,2087,2087,true,SIN,Asia Pacific,Singapore,57,7.75
47.236.166.131,8443,8443,true,SIN,Asia Pacific,Singapore,51,7.75
47.236.83.239,2087,2087,true,SIN,Asia Pacific,Singapore,77,7.74
47.242.232.14,2082,2082,false,HKG,Asia Pacific,Hong Kong,46,7.74
8.222.222.64,8443,8443,true,SIN,Asia Pacific,Singapore,45,7.74
8.222.244.192,2095,2095,false,SIN,Asia Pacific,Singapore,6,7.74
47.242.234.127,8080,8080,false,HKG,Asia Pacific,Hong Kong,39,7.73
8.222.237.131,2087,2087,true,SIN,Asia Pacific,Singapore,44,7.73
8.210.146.108,2095,2095,false,HKG,Asia Pacific,Hong Kong,65,7.73
8.222.165.117,2096,2096,true,SIN,Asia Pacific,Singapore,40,7.73
47.76.204.76,2096,2096,true,HKG,Asia Pacific,Hong Kong,76,7.72
47.242.54.157,2096,2096,true,HKG,Asia Pacific,Hong Kong,68,7.72
8.222.165.117,80,80,false,SIN,Asia Pacific,Singapore,25,7.71
8.219.97.50,2095,2095,false,SIN,Asia Pacific,Singapore,6,7.70
47.76.37.57,2095,2095,false,HKG,Asia Pacific,Hong Kong,44,7.70
8.222.183.242,2053,2053,true,SIN,Asia Pacific,Singapore,60,7.69
47.236.130.95,8443,8443,true,SIN,Asia Pacific,Singapore,53,7.69
47.236.130.95,2095,2095,false,SIN,Asia Pacific,Singapore,18,7.69
8.218.188.129,8080,8080,false,HKG,Asia Pacific,Hong Kong,38,7.69
47.243.86.79,8880,8880,false,HKG,Asia Pacific,Hong Kong,46,7.69
8.222.165.117,2083,2083,true,SIN,Asia Pacific,Singapore,63,7.69
8.222.249.190,2053,2053,true,SIN,Asia Pacific,Singapore,49,7.69
47.236.17.193,8443,8443,true,SIN,Asia Pacific,Singapore,53,7.69
47.237.92.26,2053,2053,true,SIN,Asia Pacific,Singapore,141,7.69
8.219.4.122,2095,2095,false,SIN,Asia Pacific,Singapore,5,7.69
8.222.208.38,2053,2053,true,SIN,Asia Pacific,Singapore,79,7.68
8.222.183.242,2096,2096,true,SIN,Asia Pacific,Singapore,23,7.68
8.210.192.93,2053,2053,true,HKG,Asia Pacific,Hong Kong,45,7.68
8.219.198.139,2083,2083,true,SIN,Asia Pacific,Singapore,105,7.68
8.218.222.36,2096,2096,true,HKG,Asia Pacific,Hong Kong,69,7.67
8.219.49.65,2096,2096,true,SIN,Asia Pacific,Singapore,14,7.67
8.219.117.198,2052,2052,false,SIN,Asia Pacific,Singapore,11,7.67
8.217.251.62,2096,2096,true,HKG,Asia Pacific,Hong Kong,75,7.67
8.222.179.231,8880,8880,false,SIN,Asia Pacific,Singapore,21,7.66
8.217.159.210,2086,2086,false,HKG,Asia Pacific,Hong Kong,50,7.66
8.218.201.73,8880,8880,false,HKG,Asia Pacific,Hong Kong,60,7.66
8.222.164.209,2052,2052,false,SIN,Asia Pacific,Singapore,8,7.65
47.236.146.249,8443,8443,true,SIN,Asia Pacific,Singapore,50,7.65
8.219.114.201,8443,8443,true,SIN,Asia Pacific,Singapore,101,7.65
47.243.90.180,8443,8443,true,HKG,Asia Pacific,Hong Kong,87,7.65
47.236.158.158,2096,2096,true,SIN,Asia Pacific,Singapore,58,7.65
47.236.130.95,2052,2052,false,SIN,Asia Pacific,Singapore,21,7.64
8.219.177.205,2083,2083,true,SIN,Asia Pacific,Singapore,27,7.64
47.236.144.208,2086,2086,false,SIN,Asia Pacific,Singapore,18,7.64
8.219.248.47,443,443,true,SIN,Asia Pacific,Singapore,61,7.64
8.222.244.192,2095,2095,false,SIN,Asia Pacific,Singapore,23,7.63
8.217.239.116,2052,2052,false,HKG,Asia Pacific,Hong Kong,41,7.63
8.218.65.237,2053,2053,true,HKG,Asia Pacific,Hong Kong,68,7.63
47.237.94.140,2087,2087,true,SIN,Asia Pacific,Singapore,163,7.63
8.210.119.11,2096,2096,true,HKG,Asia Pacific,Hong Kong,63,7.63
8.210.9.129,2083,2083,true,HKG,Asia Pacific,Hong Kong,55,7.62
8.217.91.121,2096,2096,true,HKG,Asia Pacific,Hong Kong,117,7.62
47.243.74.220,8080,8080,false,HKG,Asia Pacific,Hong Kong,42,7.61
8.218.142.253,2052,2052,false,HKG,Asia Pacific,Hong Kong,38,7.61
47.236.165.25,2095,2095,false,SIN,Asia Pacific,Singapore,19,7.61
47.236.164.215,443,443,true,SIN,Asia Pacific,Singapore,41,7.60
8.218.136.25,2087,2087,true,HKG,Asia Pacific,Hong Kong,56,7.60
8.222.160.176,2053,2053,true,SIN,Asia Pacific,Singapore,73,7.59
47.236.5.223,8443,8443,true,SIN,Asia Pacific,Singapore,59,7.59
47.242.54.157,2096,2096,true,HKG,Asia Pacific,Hong Kong,44,7.59
8.218.188.129,8443,8443,true,HKG,Asia Pacific,Hong Kong,60,7.59
47.237.95.13,8880,8880,false,SIN,Asia Pacific,Singapore,43,7.59
8.222.244.192,80,80,false,SIN,Asia Pacific,Singapore,10,7.59
8.219.222.98,2087,2087,true,SIN,Asia Pacific,Singapore,64,7.58
47.236.254.120,2082,2082,false,SIN,Asia Pacific,Singapore,15,7.57
8.217.193.25,80,80,false,HKG,Asia Pacific,Hong Kong,46,7.57
47.237.83.20,2052,2052,false,SIN,Asia Pacific,Singapore,22,7.57
8.217.91.121,2087,2087,true,HKG,Asia Pacific,Hong Kong,97,7.56
47.237.84.173,8080,8080,false,SIN,Asia Pacific,Singapore,26,7.56
47.76.32.108,8443,8443,true,HKG,Asia Pacific,Hong Kong,45,7.56
8.219.0.162,2053,2053,true,SIN,Asia Pacific,Singapore,74,7.56
47.76.33.40,2052,2052,false,HKG,Asia Pacific,Hong Kong,41,7.55
47.242.54.157,8443,8443,true,HKG,Asia Pacific,Hong Kong,46,7.55
8.219.4.122,2096,2096,true,SIN,Asia Pacific,Singapore,29,7.55
8.219.40.37,8443,8443,true,SIN,Asia Pacific,Singapore,82,7.54
47.236.165.25,80,80,false,SIN,Asia Pacific,Singapore,21,7.54
8.222.137.192,8880,8880,false,SIN,Asia Pacific,Singapore,15,7.54
47.236.146.249,2082,2082,false,SIN,Asia Pacific,Singapore,14,7.54
8.219.4.122,2087,2087,true,SIN,Asia Pacific,Singapore,36,7.54
8.219.40.37,2052,2052,false,SIN,Asia Pacific,Singapore,4,7.53
8.218.136.25,2053,2053,true,HKG,Asia Pacific,Hong Kong,79,7.53
8.218.201.73,2086,2086,false,HKG,Asia Pacific,Hong Kong,45,7.53
8.217.250.222,8443,8443,true,HKG,Asia Pacific,Hong Kong,56,7.53
47.237.95.156,8080,8080,false,SIN,Asia Pacific,Singapore,29,7.52
47.236.118.216,2087,2087,true,SIN,Asia Pacific,Singapore,66,7.52
47.236.130.95,2096,2096,true,SIN,Asia Pacific,Singapore,61,7.52
8.222.249.190,2053,2053,true,SIN,Asia Pacific,Singapore,91,7.52
47.237.95.140,2096,2096,true,SIN,Asia Pacific,Singapore,124,7.51
47.236.117.48,2083,2083,true,SIN,Asia Pacific,Singapore,41,7.50
8.218.181.189,2087,2087,true,HKG,Asia Pacific,Hong Kong,94,7.50
47.243.234.9,2052,2052,false,HKG,Asia Pacific,Hong Kong,40,7.50
8.217.121.207,8880,8880,false,HKG,Asia Pacific,Hong Kong,46,7.49
8.210.203.7,2087,2087,true,HKG,Asia Pacific,Hong Kong,46,7.49
47.236.165.25,2096,2096,true,SIN,Asia Pacific,Singapore,94,7.48
8.222.244.192,2082,2082,false,SIN,Asia Pacific,Singapore,4,7.47
47.236.118.216,2086,2086,false,SIN,Asia Pacific,Singapore,9,7.47
47.243.139.85,2083,2083,true,HKG,Asia Pacific,Hong Kong,84,7.47
47.236.253.41,8080,8080,false,SIN,Asia Pacific,Singapore,19,7.46
8.222.144.50,8443,8443,true,SIN,Asia Pacific,Singapore,64,7.46
8.219.5.10,2052,2052,false,SIN,Asia Pacific,Singapore,3,7.45
8.219.117.198,2086,2086,false,SIN,Asia Pacific,Singapore,5,7.45
47.242.17.250,2087,2087,true,HKG,Asia Pacific,Hong Kong,116,7.45
47.236.121.23,2095,2095,false,SIN,Asia Pacific,Singapore,16,7.45
8.219.122.55,2095,2095,false,SIN,Asia Pacific,Singapore,13,7.45
47.236.180.51,2052,2052,false,SIN,Asia Pacific,Singapore,48,7.45
8.222.134.170,8880,8880,false,SIN,Asia Pacific,Singapore,27,7.45
8.210.66.190,2082,2082,false,HKG,Asia Pacific,Hong Kong,63,7.44
47.236.171.205,2083,2083,true,SIN,Asia Pacific,Singapore,31,7.44
47.76.204.76,2086,2086,false,HKG,Asia Pacific,Hong Kong,48,7.44
8.218.174.118,8880,8880,false,HKG,Asia Pacific,Hong Kong,39,7.44
8.219.97.50,8080,8080,false,SIN,Asia Pacific,Singapore,7,7.44
8.217.149.28,80,80,false,HKG,Asia Pacific,Hong Kong,54,7.44
8.222.183.242,8080,8080,false,SIN,Asia Pacific,Singapore,58,7.43
8.219.5.10,8080,8080,false,SIN,Asia Pacific,Singapore,8,7.43
47.243.107.148,8880,8880,false,HKG,Asia Pacific,Hong Kong,41,7.43
8.218.65.237,80,80,false,HKG,Asia Pacific,Hong Kong,45,7.43
8.210.21.65,2052,2052,false,HKG,Asia Pacific,Hong Kong,46,7.43
47.237.92.26,80,80,false,SIN,Asia Pacific,Singapore,22,7.42
47.236.144.48,2083,2083,true,SIN,Asia Pacific,Singapore,72,7.42
47.76.80.72,2053,2053,true,HKG,Asia Pacific,Hong Kong,66,7.42
