IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.242.232.14,2087,2087,true,HKG,Asia Pacific,Hong Kong,62,7.42
47.236.102.102,8080,8080,false,SIN,Asia Pacific,Singapore,13,7.42
8.218.201.73,80,80,false,HKG,Asia Pacific,Hong Kong,44,7.42
8.219.93.5,8880,8880,false,SIN,Asia Pacific,Singapore,5,7.41
47.243.60.150,2083,2083,true,HKG,Asia Pacific,Hong Kong,107,7.41
8.219.4.122,2086,2086,false,SIN,Asia Pacific,Singapore,4,7.40
47.76.77.103,2087,2087,true,HKG,Asia Pacific,Hong Kong,47,7.40
47.237.84.173,2083,2083,true,SIN,Asia Pacific,Singapore,68,7.40
8.222.180.86,8443,8443,true,SIN,Asia Pacific,Singapore,45,7.40
8.219.49.65,2083,2083,true,SIN,Asia Pacific,Singapore,34,7.40
8.222.181.117,2095,2095,false,SIN,Asia Pacific,Singapore,6,7.39
47.236.169.164,2095,2095,false,SIN,Asia Pacific,Singapore,19,7.39
8.222.181.117,2083,2083,true,SIN,Asia Pacific,Singapore,55,7.39
8.219.51.211,2052,2052,false,SIN,Asia Pacific,Singapore,4,7.39
8.217.127.73,8880,8880,false,HKG,Asia Pacific,Hong Kong,40,7.39
8.222.137.192,2096,2096,true,SIN,Asia Pacific,Singapore,48,7.38
47.236.121.23,2082,2082,false,SIN,Asia Pacific,Singapore,5,7.38
8.222.144.50,2087,2087,true,SIN,Asia Pacific,Singapore,6,7.38
47.243.234.9,2086,2086,false,HKG,Asia Pacific,Hong Kong,38,7.38
47.243.139.243,8443,8443,true,HKG,Asia Pacific,Hong Kong,89,7.38
8.222.137.192,443,443,true,SIN,Asia Pacific,Singapore,86,7.37
8.217.193.25,2096,2096,true,HKG,Asia Pacific,Hong Kong,72,7.37
8.218.136.25,2086,2086,false,HKG,Asia Pacific,Hong Kong,51,7.37
47.236.130.95,443,443,true,SIN,Asia Pacific,Singapore,52,7.37
8.219.174.142,2095,2095,false,SIN,Asia Pacific,Singapore,3,7.37
47.236.125.62,2086,2086,false,NRT,Asia Pacific,Tokyo,86,7.37
47.236.144.156,2052,2052,false,SIN,Asia Pacific,Singapore,28,7.36
47.243.206.150,8443,8443,true,HKG,Asia Pacific,Hong Kong,52,7.36
47.236.158.158,2096,2096,true,SIN,Asia Pacific,Singapore,57,7.36
8.210.156.6,80,80,false,HKG,Asia Pacific,Hong Kong,43,7.36
8.218.211.17,2052,2052,false,HKG,Asia Pacific,Hong Kong,47,7.35
8.219.66.156,8880,8880,false,NRT,Asia Pacific,Tokyo,77,7.35
47.76.77.103,2053,2053,true,HKG,Asia Pacific,Hong Kong,48,7.35
8.222.164.209,8443,8443,true,SIN,Asia Pacific,Singapore,50,7.34
8.222.156.242,2096,2096,true,SIN,Asia Pacific,Singapore,61,7.34
8.219.201.8,2052,2052,false,SIN,Asia Pacific,Singapore,7,7.34
47.236.164.215,2082,2082,false,SIN,Asia Pacific,Singapore,22,7.34
8.219.210.57,2086,2086,false,SIN,Asia Pacific,Singapore,19,7.34
8.219.0.162,2095,2095,false,SIN,Asia Pacific,Singapore,9,7.34
8.218.211.17,2053,2053,true,HKG,Asia Pacific,Hong Kong,81,7.34
8.218.3.12,8880,8880,false,HKG,Asia Pacific,Hong Kong,62,7.33
8.218.65.237,2052,2052,false,HKG,Asia Pacific,Hong Kong,48,7.33
8.210.146.108,8880,8880,false,HKG,Asia Pacific,Hong Kong,39,7.33
8.218.142.253,8080,8080,false,HKG,Asia Pacific,Hong Kong,42,7.33
8.219.5.10,2083,2083,true,SIN,Asia Pacific,Singapore,9,7.33
8.217.121.207,2052,2052,false,HKG,Asia Pacific,Hong Kong,50,7.33
8.219.147.58,2053,2053,true,SIN,Asia Pacific,Singapore,76,7.32
8.217.145.40,2053,2053,true,HKG,Asia Pacific,Hong Kong,52,7.31
8.219.11.158,2096,2096,true,SIN,Asia Pacific,Singapore,71,7.31
8.219.229.190,2052,2052,false,SIN,Asia Pacific,Singapore,15,7.30
47.242.79.71,2083,2083,true,HKG,Asia Pacific,Hong Kong,61,7.30
8.222.183.242,2087,2087,true,SIN,Asia Pacific,Singapore,61,7.30
8.222.146.222,2095,2095,false,SIN,Asia Pacific,Singapore,31,7.30
8.219.0.162,2053,2053,true,SIN,Asia Pacific,Singapore,32,7.30
8.222.162.45,2083,2083,true,SIN,Asia Pacific,Singapore,62,7.29
8.219.6.150,2052,2052,false,SIN,Asia Pacific,Singapore,19,7.29
47.242.232.14,2096,2096,true,HKG,Asia Pacific,Hong Kong,80,7.29
8.222.222.64,2096,2096,true,SIN,Asia Pacific,Singapore,48,7.29
8.219.5.10,2082,2082,false,SIN,Asia Pacific,Singapore,12,7.28
8.219.6.150,2053,2053,true,SIN,Asia Pacific,Singapore,15,7.28
47.236.121.23,2083,2083,true,SIN,Asia Pacific,Singapore,53,7.28
8.219.40.37,2086,2086,false,SIN,Asia Pacific,Singapore,4,7.28
47.243.90.180,2083,2083,true,HKG,Asia Pacific,Hong Kong,45,7.28
47.236.171.205,2087,2087,true,SIN,Asia Pacific,Singapore,114,7.27
47.242.59.216,2096,2096,true,HKG,Asia Pacific,Hong Kong,58,7.27
8.222.167.147,8080,8080,false,SIN,Asia Pacific,Singapore,16,7.27
47.243.60.150,2087,2087,true,HKG,Asia Pacific,Hong Kong,78,7.27
8.219.201.8,80,80,false,SIN,Asia Pacific,Singapore,5,7.27
47.236.165.25,80,80,false,SIN,Asia Pacific,Singapore,12,7.27
47.236.146.249,443,443,true,SIN,Asia Pacific,Singapore,82,7.27
8.222.160.176,2096,2096,true,SIN,Asia Pacific,Singapore,56,7.27
47.236.144.156,2052,2052,false,SIN,Asia Pacific,Singapore,9,7.25
47.242.17.250,2087,2087,true,HKG,Asia Pacific,Hong Kong,92,7.25
47.236.117.48,8880,8880,false,SIN,Asia Pacific,Singapore,11,7.24
8.218.53.110,2083,2083,true,HKG,Asia Pacific,Hong Kong,41,7.24
8.222.156.242,80,80,false,SIN,Asia Pacific,Singapore,15,7.24
47.242.17.250,2053,2053,true,HKG,Asia Pacific,Hong Kong,62,7.23
47.236.169.141,2082,2082,false,SIN,Asia Pacific,Singapore,23,7.23
8.210.207.214,8443,8443,true,HKG,Asia Pacific,Hong Kong,57,7.22
47.243.91.58,2052,2052,false,HKG,Asia Pacific,Hong Kong,55,7.22
47.242.232.14,8443,8443,true,HKG,Asia Pacific,Hong Kong,62,7.22
47.243.139.85,2096,2096,true,HKG,Asia Pacific,Hong Kong,58,7.22
8.218.174.118,8443,8443,true,HKG,Asia Pacific,Hong Kong,84,7.21
8.219.5.10,2095,2095,false,SIN,Asia Pacific,Singapore,23,7.21
8.219.200.145,2052,2052,false,SIN,Asia Pacific,Singapore,9,7.20
8.219.99.169,80,80,false,SIN,Asia Pacific,Singapore,9,7.20
8.219.67.133,2053,2053,true,SIN,Asia Pacific,Singapore,92,7.20
8.219.174.142,8443,8443,true,SIN,Asia Pacific,Singapore,75,7.19
47.236.169.15,2053,2053,true,SIN,Asia Pacific,Singapore,118,7.19
47.236.254.120,2086,2086,false,SIN,Asia Pacific,Singapore,29,7.18
8.219.11.158,2053,2053,true,SIN,Asia Pacific,Singapore,21,7.18
47.236.171.205,8880,8880,false,SIN,Asia Pacific,Singapore,40,7.18
47.236.253.41,2095,2095,false,SIN,Asia Pacific,Singapore,26,7.18
47.236.104.11,2053,2053,true,SIN,Asia Pacific,Singapore,26,7.18
8.219.191.110,2083,2083,true,SIN,Asia Pacific,Singapore,62,7.17
47.243.139.85,2053,2053,true,HKG,Asia Pacific,Hong Kong,44,7.17
47.236.118.216,8880,8880,false,SIN,Asia Pacific,Singapore,9,7.17
47.242.202.230,2082,2082,false,HKG,Asia Pacific,Hong Kong,55,7.17
8.219.99.169,8080,8080,false,SIN,Asia Pacific,Singapore,5,7.17
47.236.237.90,2053,2053,true,SIN,Asia Pacific,Singapore,94,7.16
8.222.237.131,2096,2096,true,SIN,Asia Pacific,Singapore,83,7.16
47.237.95.146,2053,2053,true,SIN,Asia Pacific,Singapore,146,7.16
8.219.220.88,2083,2083,true,SIN,Asia Pacific,Singapore,62,7.16
8.217.193.25,2082,2082,false,HKG,Asia Pacific,Hong Kong,41,7.16
8.222.215.228,8080,8080,false,SIN,Asia Pacific,Singapore,20,7.15
8.217.232.246,2086,2086,false,HKG,Asia Pacific,Hong Kong,39,7.15
47.236.172.71,2087,2087,true,SIN,Asia Pacific,Singapore,89,7.15
8.217.159.210,2087,2087,true,HKG,Asia Pacific,Hong Kong,65,7.15
47.236.149.107,2083,2083,true,SIN,Asia Pacific,Singapore,57,7.14
8.218.122.55,8443,8443,true,HKG,Asia Pacific,Hong Kong,93,7.14
47.242.36.78,2087,2087,true,HKG,Asia Pacific,Hong Kong,87,7.13
47.236.83.239,8080,8080,false,SIN,Asia Pacific,Singapore,15,7.13
8.219.78.1,80,80,false,SIN,Asia Pacific,Singapore,5,7.12
47.237.92.26,2083,2083,true,SIN,Asia Pacific,Singapore,93,7.12
47.236.118.216,8880,8880,false,SIN,Asia Pacific,Singapore,18,7.11
8.222.215.228,2082,2082,false,SIN,Asia Pacific,Singapore,2,7.11
8.218.3.12,2052,2052,false,HKG,Asia Pacific,Hong Kong,39,7.11
47.242.174.27,8080,8080,false,HKG,Asia Pacific,Hong Kong,55,7.11
8.219.209.14,2053,2053,true,SIN,Asia Pacific,Singapore,85,7.11
8.219.0.162,2082,2082,false,SIN,Asia Pacific,Singapore,12,7.10
47.242.17.250,2096,2096,true,HKG,Asia Pacific,Hong Kong,91,7.09
47.236.202.91,8080,8080,false,SIN,Asia Pacific,Singapore,17,7.09
8.218.53.110,2052,2052,false,HKG,Asia Pacific,Hong Kong,47,7.09
8.222.162.45,2087,2087,true,SIN,Asia Pacific,Singapore,73,7.09
47.242.36.78,2096,2096,true,HKG,Asia Pacific,Hong Kong,55,7.09
8.219.0.162,2086,2086,false,SIN,Asia Pacific,Singapore,16,7.09
8.218.53.110,2086,2086,false,HKG,Asia Pacific,Hong Kong,41,7.09
47.243.42.219,2082,2082,false,HKG,Asia Pacific,Hong Kong,52,7.09
8.217.239.116,8880,8880,false,HKG,Asia Pacific,Hong Kong,74,7.09
8.222.137.192,80,80,false,SIN,Asia Pacific,Singapore,21,7.09
8.222.160.176,2082,2082,false,SIN,Asia Pacific,Singapore,8,7.09
8.222.244.192,2087,2087,true,SIN,Asia Pacific,Singapore,26,7.08
8.219.191.110,2087,2087,true,SIN,Asia Pacific,Singapore,37,7.08
8.217.207.60,80,80,false,HKG,Asia Pacific,Hong Kong,47,7.08
47.243.90.180,2087,2087,true,HKG,Asia Pacific,Hong Kong,51,7.08
47.242.79.71,2096,2096,true,HKG,Asia Pacific,Hong Kong,68,7.07
47.237.14.220,2086,2086,false,SIN,Asia Pacific,Singapore,23,7.07
8.222.150.197,2095,2095,false,SIN,Asia Pacific,Singapore,17,7.07
47.236.202.91,2052,2052,false,SIN,Asia Pacific,Singapore,35,7.07
8.218.174.118,8080,8080,false,HKG,Asia Pacific,Hong Kong,64,7.07
47.236.97.90,80,80,false,SIN,Asia Pacific,Singapore,16,7.07
47.236.104.11,2052,2052,false,SIN,Asia Pacific,Singapore,16,7.07
8.219.42.72,443,443,true,SIN,Asia Pacific,Singapore,11,7.06
8.218.3.12,2082,2082,false,HKG,Asia Pacific,Hong Kong,57,7.06
8.219.202.130,2086,2086,false,SIN,Asia Pacific,Singapore,22,7.06
47.236.158.158,2086,2086,false,SIN,Asia Pacific,Singapore,8,7.06
8.219.114.201,8880,8880,false,SIN,Asia Pacific,Singapore,6,7.06
47.236.123.133,2087,2087,true,SIN,Asia Pacific,Singapore,68,7.06
47.243.234.9,2082,2082,false,HKG,Asia Pacific,Hong Kong,46,7.06
8.218.143.10,8443,8443,true,HKG,Asia Pacific,Hong Kong,59,7.05
8.217.145.40,2053,2053,true,HKG,Asia Pacific,Hong Kong,56,7.05
47.236.170.225,2086,2086,false,SIN,Asia Pacific,Singapore,22,7.05
8.222.237.131,2083,2083,true,SIN,Asia Pacific,Singapore,34,7.05
8.222.184.198,8443,8443,true,SIN,Asia Pacific,Singapore,13,7.05
8.222.183.242,8443,8443,true,SIN,Asia Pacific,Singapore,69,7.05
8.218.85.128,80,80,false,HKG,Asia Pacific,Hong Kong,41,7.04
8.219.99.169,2095,2095,false,SIN,Asia Pacific,Singapore,10,7.04
47.237.95.140,80,80,false,SIN,Asia Pacific,Singapore,60,7.03
47.236.253.41,8880,8880,false,SIN,Asia Pacific,Singapore,18,7.03
47.236.166.131,2087,2087,true,SIN,Asia Pacific,Singapore,70,7.03
47.243.86.79,80,80,false,HKG,Asia Pacific,Hong Kong,36,7.03
47.236.171.205,2052,2052,false,SIN,Asia Pacific,Singapore,65,7.02
