IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.187.4,2052,2052,false,SIN,Asia Pacific,Singapore,4,0.66
47.243.90.180,2096,2096,true,HKG,Asia Pacific,Hong Kong,45,0.66
8.218.174.118,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,0.65
8.217.149.28,2053,2053,true,HKG,Asia Pacific,Hong Kong,52,0.65
8.218.148.106,443,443,true,HKG,Asia Pacific,Hong Kong,102,0.65
8.218.146.204,2087,2087,true,HKG,Asia Pacific,Hong Kong,161,0.65
8.218.146.204,8443,8443,true,HKG,Asia Pacific,Hong Kong,60,0.64
8.210.146.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,88,0.64
47.76.49.246,8880,8880,false,HKG,Asia Pacific,Hong Kong,65,0.64
8.222.249.190,80,80,false,SIN,Asia Pacific,Singapore,44,0.64
47.88.15.127,443,443,true,SJC,North America,San Jose,362,0.63
8.218.18.235,8880,8880,false,HKG,Asia Pacific,Hong Kong,90,0.63
47.243.107.148,80,80,false,HKG,Asia Pacific,Hong Kong,47,0.61
8.218.74.119,8880,8880,false,HKG,Asia Pacific,Hong Kong,50,0.61
47.242.171.94,2087,2087,true,HKG,Asia Pacific,Hong Kong,85,0.59
47.243.173.187,2083,2083,true,HKG,Asia Pacific,Hong Kong,81,0.59
8.218.201.73,8080,8080,false,HKG,Asia Pacific,Hong Kong,43,0.59
47.76.33.40,8080,8080,false,HKG,Asia Pacific,Hong Kong,54,0.58
8.218.74.119,80,80,false,HKG,Asia Pacific,Hong Kong,56,0.57
47.76.94.15,2086,2086,false,HKG,Asia Pacific,Hong Kong,101,0.57
47.243.107.148,2053,2053,true,HKG,Asia Pacific,Hong Kong,59,0.57
47.76.94.15,2087,2087,true,HKG,Asia Pacific,Hong Kong,90,0.56
47.242.171.94,2082,2082,false,HKG,Asia Pacific,Hong Kong,71,0.55
8.219.66.156,2087,2087,true,NRT,Asia Pacific,Tokyo,179,0.55
47.76.33.40,2052,2052,false,HKG,Asia Pacific,Hong Kong,47,0.55
47.76.94.15,2053,2053,true,HKG,Asia Pacific,Hong Kong,50,0.54
47.76.146.1,8443,8443,true,HKG,Asia Pacific,Hong Kong,51,0.54
47.76.33.40,2095,2095,false,HKG,Asia Pacific,Hong Kong,38,0.54
8.219.174.142,8880,8880,false,SIN,Asia Pacific,Singapore,53,0.53
8.218.18.132,8880,8880,false,HKG,Asia Pacific,Hong Kong,50,0.53
8.210.65.1,443,443,true,HKG,Asia Pacific,Hong Kong,61,0.53
8.222.137.192,80,80,false,SIN,Asia Pacific,Singapore,15,0.52
8.218.136.25,2087,2087,true,HKG,Asia Pacific,Hong Kong,145,0.52
8.218.146.204,2083,2083,true,HKG,Asia Pacific,Hong Kong,73,0.52
8.218.122.55,2096,2096,true,HKG,Asia Pacific,Hong Kong,99,0.52
47.243.173.187,8443,8443,true,HKG,Asia Pacific,Hong Kong,70,0.51
