IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.194.170,2087,2087,true,SIN,Asia Pacific,Singapore,33,0.00
8.210.192.93,8080,8080,false,HKG,Asia Pacific,Hong Kong,35,0.00
8.218.146.204,8880,8880,false,HKG,Asia Pacific,Hong Kong,35,0.00
8.217.49.34,2087,2087,true,HKG,Asia Pacific,Hong Kong,36,0.00
47.237.0.31,2095,2095,false,SIN,Asia Pacific,Singapore,36,0.00
47.242.155.183,80,80,false,HKG,Asia Pacific,Hong Kong,36,0.00
47.242.202.230,2052,2052,false,HKG,Asia Pacific,Hong Kong,36,0.00
8.222.222.64,8080,8080,false,SIN,Asia Pacific,Singapore,37,0.00
47.236.149.107,8443,8443,true,SIN,Asia Pacific,Singapore,37,0.00
8.219.201.8,2087,2087,true,SIN,Asia Pacific,Singapore,37,0.00
8.219.132.64,8080,8080,false,SIN,Asia Pacific,Singapore,37,0.00
47.242.174.27,8443,8443,true,HKG,Asia Pacific,Hong Kong,37,0.00
8.218.53.110,2086,2086,false,HKG,Asia Pacific,Hong Kong,38,0.00
8.217.239.116,80,80,false,HKG,Asia Pacific,Hong Kong,39,0.00
